georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.975098 40.680829),,0,Flatbush - New Lots,Manhattan,-73.975098,40.680829,Subway,2 3,Bk,Bergen St,Eastern Pky,IRT,236,339,339
POINT (-73.981329 40.758663),,1,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.981329,40.758663,Subway,B D F M,M,47-50 Sts-Rockefeller Ctr,6th Av - Culver,IND,D15,225,225
POINT (-73.933147 40.706152),,0,Canarsie - Rockaway Parkway,Manhattan,-73.933147,40.706152,Subway,L,Bk,Morgan Av,Canarsie,BMT,L14,125,125
POINT (-73.803326 40.707564),,0,Manhattan,179 St,-73.803326,40.707564,Subway,F,Q,Parsons Blvd,Queens Blvd,IND,F03,256,256
POINT (-74.012188 40.711835),,1,Downtown,Uptown & The Bronx,-74.012188,40.711835,Subway,1,M,WTC Cortlandt,Broadway - 7Av,IRT,138,328,328
POINT (-73.903077 40.704423),,0,Metropolitan Av,Manhattan,-73.903077,40.704423,Elevated,M,Q,Forest Av,Myrtle Av,BMT,M05,110,110
POINT (-73.862633 40.883895),,0,Manhattan,Wakefield - 241 St,-73.862633,40.883895,Elevated,2 5,Bx,219 St,Lenox - White Plains Rd,IRT,207,420,420
POINT (-73.919899 40.868072),,1,Downtown & Brooklyn,,-73.919899,40.868072,Subway,A,M,Inwood-207 St,8th Av - Fulton St,IND,A02,143,143
POINT (-74.005229 40.720824),,0,Downtown & Brooklyn,Uptown - Queens,-74.005229,40.720824,Subway,A C E,M,Canal St,8th Av - Fulton St,IND,A34,169,169
POINT (-73.949575 40.650843),,1,Flatbush,Manhattan,-73.949575,40.650843,Subway,2 5,Bk,Church Av,Nostrand,IRT,244,356,356
POINT (-73.954155 40.586896),,0,Brighton Beach & Coney Island,Manhattan,-73.954155,40.586896,Open Cut,B Q,Bk,Sheepshead Bay,Broadway - Brighton,BMT,D39,54,54
POINT (-73.9214 40.835537),,0,Manhattan,Woodlawn,-73.9214,40.835537,Elevated,4,Bx,167 St,Jerome Av,IRT,413,388,388
POINT (-73.872106 40.675377),,1,Lefferts - Rockaways,Manhattan,-73.872106,40.675377,Subway,A C,Bk,Euclid Av,8th Av - Fulton St,IND,A55,188,188
POINT (-73.984139 40.759901),Uptown & Queens only,2,Downtown & Brooklyn,Uptown & Queens,-73.984139,40.759901,Subway,N R W,M,49 St,Broadway - Brighton,BMT,R15,10,10
POINT (-73.982076 40.746081),,0,Downtown,Uptown & The Bronx,-73.982076,40.746081,Subway,6,M,33 St,Lexington Av,IRT,632,403,403
POINT (-73.964696 40.791642),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.964696,40.791642,Subway,B C,M,96 St,8th Av - Fulton St,IND,A19,157,157
POINT (-73.987495 40.75529),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.987495,40.75529,Subway,1 2 3,M,Times Sq-42 St,Broadway - 7Av,IRT,127,611,317
POINT (-73.97745 40.763972),,0,Downtown & Brooklyn,Uptown & Queens,-73.97745,40.763972,Subway,F,M,57 St,6th Av - Culver,IND,B10,224,224
POINT (-73.951418 40.712792),,0,Church Av,Queens,-73.951418,40.712792,Subway,G,Bk,Metropolitan Av,Crosstown,IND,G29,629,285
POINT (-74.005367 40.728251),,0,Downtown,Uptown & The Bronx,-74.005367,40.728251,Subway,1,M,Houston St,Broadway - 7Av,IRT,134,324,324
POINT (-73.902984 40.74563),,1,Manhattan,Flushing,-73.902984,40.74563,Elevated,7,Q,61 St-Woodside,Flushing,IRT,712,456,456
POINT (-73.940202 40.750582),,0,Manhattan,Astoria - Flushing,-73.940202,40.750582,Elevated,7,Q,Queensboro Plaza,Flushing,IRT,718,461,461
POINT (-74.013783 40.707513),,0,Downtown,Uptown & The Bronx,-74.013783,40.707513,Subway,1,M,Rector St,Broadway - 7Av,IRT,139,329,329
POINT (-73.941126 40.70026),,1,Manhattan,Jamaica - Middle Village,-73.941126,40.70026,Elevated,J M,Bk,Flushing Av,Jamaica,BMT,M12,98,98
POINT (-73.926718 40.81841),,0,Manhattan,Wakefield - Eastchester,-73.926718,40.81841,Subway,2 5,Bx,149 St-Grand Concourse,Lenox - White Plains Rd,IRT,222,603,435
POINT (-74.001736 40.607954),,0,Coney Island,Manhattan,-74.001736,40.607954,Elevated,D,Bk,18 Av,West End,BMT,B19,66,66
POINT (-73.832569 40.84681),,0,Manhattan,Pelham Bay Park,-73.832569,40.84681,Elevated,6,Bx,Buhre Av,Pelham,IRT,602,361,361
POINT (-73.834058 40.668234),,0,Rockaways,Manhattan,-73.834058,40.668234,At Grade,A,Q,Aqueduct-N Conduit Av,Rockaway,IND,H02,197,197
POINT (-73.97425 40.58962),,0,Coney Island,Manhattan,-73.97425,40.58962,Elevated,F,Bk,Avenue X,6th Av - Culver,IND,F38,252,252
POINT (-73.996209 40.738228),,0,Downtown & Brooklyn,Uptown & Queens,-73.996209,40.738228,Subway,F M,M,14 St,6th Av - Culver,IND,D19,601,229
POINT (-73.981963 40.753821),,0,34 St - Hudson Yards,Queens,-73.981963,40.753821,Subway,7,M,5 Av,Flushing,IRT,724,609,466
POINT (-73.910456 40.682893),,0,Manhattan,Jamaica,-73.910456,40.682893,Elevated,J Z,Bk,Chauncey St,Jamaica,BMT,J28,93,93
POINT (-74.014034 40.645069),,0,Bay Ridge - 95 St,Manhattan,-74.014034,40.645069,Subway,R,Bk,53 St,4th Av,BMT,R40,34,34
POINT (-74.00169 40.740893),,1,Downtown & Brooklyn,Uptown - Queens,-74.00169,40.740893,Subway,A C E,M,14 St,8th Av - Fulton St,IND,A31,618,166
POINT (-73.90185 40.646654),,1,,Manhattan,-73.90185,40.646654,At Grade,L,Bk,Canarsie-Rockaway Pkwy,Canarsie,BMT,L29,138,138
POINT (-74.013342 40.70722),,0,Downtown & Brooklyn,Uptown & Queens,-74.013342,40.70722,Subway,R W,M,Rector St,Broadway,BMT,R26,22,22
POINT (-73.969055 40.757552),,1,Downtown & Brooklyn,Queens,-73.969055,40.757552,Subway,E M,M,Lexington Av/53 St,Queens Blvd,IND,F11,612,275
POINT (-73.891865 40.829993),,0,Manhattan,Wakefield - Eastchester,-73.891865,40.829993,Elevated,2 5,Bx,Freeman St,Lenox - White Plains Rd,IRT,216,429,429
POINT (-73.99107 40.730054),,0,Downtown,Uptown & The Bronx,-73.99107,40.730054,Subway,6,M,Astor Pl,Lexington Av,IRT,636,407,407
POINT (-73.843853 40.680429),,0,Lefferts - Rockaways,Manhattan,-73.843853,40.680429,Elevated,A,Q,Rockaway Blvd,Liberty Av,IND,A61,192,192
POINT (-73.867615 40.857192),,1,Manhattan,Wakefield - 241 St,-73.867615,40.857192,Elevated,2 5,Bx,Pelham Pkwy,Lenox - White Plains Rd,IRT,211,424,424
POINT (-74.011719 40.635064),,1,Coney Island,Manhattan,-74.011719,40.635064,Open Cut,N,Bk,8 Av,Sea Beach,BMT,N02,71,71
