total_seconds,cell_id
48660,140689
48660,27245
48660,141028
48660,142534
48660,141844
48660,42502
48660,141080
48660,84983
48660,141753
48660,142545
48660,86075
48660,139899
48660,142172
48660,141461
48660,140629
48660,139954
48660,56828
48660,100260
48660,142556
48660,141356
48660,83490
48660,141767
48660,141080
48660,84983
48660,86075
48660,88247
48660,27245
48660,73710
48660,141793
48660,142206
48660,141470
48660,141810
48660,141074
48660,75862
48660,61570
48660,141464
48660,56870
48660,142477
48660,141490
48660,142069
48660,84621
48660,84983
48660,142138
48660,141439
48660,100226
48660,25480
48660,142509
48660,89701
48660,142480
48660,94777
48660,141459
48660,140709
48660,84983
48660,114876
48660,142092
48660,70293
48660,142422
48660,142132
48660,142146
48660,51423
48660,94414
48660,142514
48660,85564
48660,76202
48660,81085
48660,142551
48660,141011
48660,142588
48660,100226
48660,73710
48660,142161
48660,25480
48660,142155
48660,73710
48660,139977
48660,89694
48660,141049
48660,79500
48660,94777
48660,141020
48660,142149
48660,82196
48660,142112
48660,141408
48660,56870
48660,25480
48660,141770
48660,141031
48660,88247
48660,141428
48660,139525
48660,142509
48660,140327
48660,39597
48720,55677
48720,103887
48720,140681
48720,142152
48720,141445
48720,142520
48720,140689
48720,27245
48720,141028
48720,142534
48720,141844
48720,42502
48720,141080
48720,84983
48720,141753
48720,142545
48720,86075
48720,139899
48720,142172
48720,141461
48720,140629
48720,139954
48720,56828
48720,100260
48720,142556
48720,141356
48720,83490
48720,141767
48720,141080
48720,84983
48720,86075
48720,88247
48720,27245
48720,73710
48720,141793
48720,142206
48720,141470
48720,141810
48720,141074
48720,75862
48720,61570
48720,141464
48720,56870
48720,142477
48720,141490
48720,142069
48720,84621
48720,84983
48720,142138
48720,141439
48720,100226
48720,25480
48720,142509
48720,89701
48720,142480
48720,94777
48720,141459
48720,140709
48720,84983
48720,114876
48720,142092
48720,70293
48720,142422
48720,142132
48720,142146
48720,51423
48720,94414
48720,142514
48720,85564
48720,76202
48720,81085
48720,142551
48720,141011
48720,142588
48720,100226
48720,73710
48720,142161
48720,25480
48720,142155
48720,73710
48720,139977
48720,89694
48720,141049
48720,79500
48720,94777
48720,141020
48720,142149
48720,82196
48720,142112
48720,141408
48720,56870
48720,25480
48720,141770
48720,141031
48720,88247
48720,141428
48720,139525
48720,142509
48720,140327
48720,39597
48780,55677
48780,103887
48780,140681
48780,142152
48780,141445
48780,142520
48780,140689
48780,27245
48780,141028
48780,142534
48780,141844
48780,42502
48780,141080
48780,84983
48780,141753
48780,142545
48780,86075
48780,139899
48780,142172
48780,141461
48780,140629
48780,139954
48780,61570
48780,100260
48780,142556
48780,141356
48780,83490
48780,141767
48780,141080
48780,84983
48780,86075
48780,88247
48780,27245
48780,73710
48780,141793
48780,142206
48780,141470
48780,141810
48780,141074
48780,75862
48780,61570
48780,141464
48780,56870
48780,142477
48780,141490
48780,142069
48780,84621
48780,84983
48780,142138
48780,141439
48780,100226
48780,25480
48780,142509
48780,89701
48780,142480
48780,94777
48780,141459
48780,140709
48780,84983
48780,114876
48780,142092
48780,70293
48780,142422
48780,142132
48780,142146
48780,51423
48780,94414
48780,142514
48780,85564
48780,76202
48780,81085
48780,142551
48780,141011
48780,142588
48780,100226
48780,73710
48780,142161
48780,25480
48780,142155
48780,73710
48780,139977
48780,89694
48780,141049
48780,79500
48780,94777
48780,141020
48780,142149
48780,82196
48780,142112
48780,141408
48780,56870
48780,25480
48780,141770
48780,141031
48780,88247
48780,141428
48780,139525
48780,142509
48780,140327
48780,39597
48840,55677
48840,103887
48840,140681
48840,142152
48840,141445
48840,142520
48840,140689
48840,27245
48840,141028
48840,142534
48840,141844
48840,42502
48840,141080
48840,84983
48840,141753
48840,142545
48840,86075
48840,139899
48840,142172
48840,141461
48840,140629
48840,139954
48840,61570
48840,100260
48840,142556
48840,141356
48840,83490
48840,141767
48840,141080
48840,84983
48840,86075
48840,88247
48840,27245
48840,73710
48840,141793
48840,142206
48840,141470
48840,141810
48840,141074
48840,75862
48840,61570
48840,141464
48840,56870
48840,142477
48840,141490
48840,142069
48840,84621
48840,84983
48840,142138
48840,141439
48840,100226
48840,25480
48840,142509
48840,89701
48840,142480
48840,94777
48840,141459
48840,140709
48840,84983
48840,114876
48840,142092
48840,70293
48840,142422
48840,142132
48840,142146
48840,51423
48840,94414
48840,142514
48840,85564
48840,76202
48840,81085
48840,142551
48840,141011
48840,142588
48840,100226
48840,73710
48840,142161
48840,25480
48840,142155
48840,73710
48840,139977
48840,89694
48840,141049
48840,79500
48840,94777
48840,141020
48840,142149
48840,82196
48840,142112
48840,141408
48840,56870
48840,25480
48840,141770
48840,141031
48840,88247
48840,141428
48840,139525
48840,142509
48840,140327
48840,39597
48900,55677
48900,103887
48900,140681
48900,142152
48900,141445
48900,142520
48900,140689
48900,27245
48900,141028
48900,142534
48900,141844
48900,42502
48900,141080
48900,84983
48900,141753
48900,142545
48900,86075
48900,139899
48900,142172
48900,141461
48900,140629
48900,139954
48900,61570
48900,100260
48900,142556
48900,141356
48900,83490
48900,141767
48900,141080
48900,84983
48900,86075
48900,88247
48900,27245
48900,73710
48900,141793
48900,142206
48900,141470
48900,141810
48900,141074
48900,75862
48900,61570
48900,141464
48900,56870
48900,142477
48900,141490
48900,142069
48900,84621
48900,84983
48900,142138
48900,141439
48900,100226
48900,25480
48900,142509
48900,89701
48900,142480
48900,94777
48900,141459
48900,140709
48900,84983
48900,114876
48900,142092
48900,70293
48900,142422
48900,142132
48900,142146
48900,51423
48900,94414
48900,142514
48900,85564
48900,76202
48900,81085
48900,142551
48900,141011
48900,142588
48900,100226
48900,73710
48900,142161
48900,25480
48900,142155
48900,73710
48900,139977
48900,89694
48900,141049
48900,79500
48900,94777
48900,141020
48900,142149
48900,82196
48900,142112
48900,141408
48900,56870
48900,25480
48900,141770
48900,141031
48900,88247
48900,141428
48900,139525
48900,142509
48900,140327
48900,39597
48960,55677
48960,103887
48960,140681
48960,142152
48960,141445
48960,142520
48960,140689
48960,27245
48960,141028
48960,142534
48960,141844
48960,42502
48960,141080
48960,84983
48960,141753
48960,142545
48960,86075
48960,139899
48960,142172
48960,141461
48960,140629
48960,139954
48960,61570
48960,100260
48960,142556
48960,141356
48960,83490
48960,141767
48960,141080
48960,84983
48960,86075
48960,88247
48960,27245
48960,73710
48960,141793
48960,142206
48960,141470
48960,141810
48960,141074
48960,75862
48960,61570
48960,141464
48960,56870
48960,142477
48960,141490
48960,142069
48960,84621
48960,84983
48960,142138
48960,141439
48960,100226
48960,25480
48960,142509
48960,89701
48960,142480
48960,94777
48960,141459
48960,140709
48960,84983
48960,114876
48960,142092
48960,70293
48960,142422
48960,142132
48960,142146
48960,51423
48960,94414
48960,142514
48960,85564
48960,76202
48960,81085
48960,142551
48960,141011
48960,142588
48960,100226
48960,73710
48960,142161
48960,25480
48960,142155
48960,73710
48960,139977
48960,89694
48960,141049
48960,79500
48960,94777
48960,141020
48960,142149
48960,82196
48960,142112
48960,141408
48960,56870
48960,25480
48960,141770
48960,141031
48960,88247
48960,141428
48960,139525
48960,142509
48960,140327
48960,39597
49020,55677
49020,103887
49020,140681
49020,142152
49020,141445
49020,142520
49020,140689
49020,27245
49020,141028
49020,142534
49020,141844
49020,42502
49020,141080
49020,84983
49020,141753
49020,142545
49020,86075
49020,139899
49020,142172
49020,141461
49020,140629
49020,139954
49020,61570
49020,100260
49020,142556
49020,141356
49020,83490
49020,141767
49020,141080
49020,84983
49020,86075
49020,88247
49020,27245
49020,73710
49020,141793
49020,142206
49020,141470
49020,141810
49020,141074
49020,75862
49020,61570
49020,141464
49020,56870
49020,142477
49020,141490
49020,142069
49020,84621
49020,84983
49020,142138
49020,141439
49020,100226
49020,25480
49020,142509
49020,89701
49020,142480
49020,94777
49020,141459
49020,140709
49020,84983
49020,114876
49020,142092
49020,70293
49020,142422
49020,142132
49020,142146
49020,51423
49020,94414
49020,142514
49020,85564
49020,76202
49020,81085
49020,142551
49020,141011
49020,142588
49020,100226
49020,73710
49020,142161
49020,25480
49020,142155
49020,73710
49020,139977
49020,89694
49020,141049
49020,79500
49020,94777
49020,141020
49020,142149
49020,82196
49020,142112
49020,141408
49020,56870
49020,25480
49020,141770
49020,141031
49020,88247
49020,141428
49020,139525
49020,142509
49020,140327
49020,39597
49080,55677
49080,103887
49080,140681
49080,142152
49080,141445
49080,142520
49080,140689
49080,27245
49080,141028
49080,142534
49080,141844
49080,42502
49080,141080
49080,84983
49080,141753
49080,142545
49080,86075
49080,139899
49080,142172
49080,141461
49080,140629
49080,139954
49080,61570
49080,100260
49080,142556
49080,141356
49080,83490
49080,141767
49080,141080
49080,84983
49080,86075
49080,88247
